备案号,药品通用名称,药品批准文号,上市许可持有人,上市许可持有人地址,生产企业名称,生产企业地址,代理机构,代理机构地址,备案内容,备案日期,备案机关,备注,注
国备2025001961,中文：活络油 ;英文/拉丁文：/,国药准字ZC20160010,中文名称：英吉利制药厂有限公司;英文名称：YING KUT LEE MEDICINE FTY. LTD.,香港九龙大角咀埃华街28号永利工业大厦13字楼A座,中文名称：英吉利制药厂有限公司;英文名称：YING KUT LEE MEDICINE FTY. LTD.,九龙油塘高辉道17号油塘工业城B2座11字楼8，9，12室,北京佳禾乐康科技有限公司,北京市丰台区航丰路8号院2号楼-1层21号,将每瓶装60ml规格的有效期由“24个月”变更为“36个月”，同时对药品说明书及包装标签中【有效期】项做相应修订。,2025-08-12,国家药品监督管理局药品审评中心,已备案
国备2025002588,中文：醋酸兰瑞肽缓释注射液（预充式）;英文/拉丁文：Lanreotide acetate sustained-release injection (a pre-filled syringe),国药准字HJ20190057,中文名称：无;英文名称：IPSEN PHARMA,70 rue Balard - 75015 Paris – France,中文名称：无;英文名称：IPSEN PHARMA BIOTECH,"Parc d'Activités du Plateau de Signes, Chemin Départemental n°402, 83870 SIGNES-France",益普生（天津）医药商贸有限公司,天津市和平区小白楼街大连道1号宝融大厦2号楼312室,"1. 说明书和外盒中上市许可持有人地址由“65, quai Georges Gorse，92100 BOULOGNE-BILLANCOURT- FRANCE”变更为“70 rue Balard - 75015 Paris – France”；2.说明书中上市许可持有人邮政编码由“92100”变更为“75015”； 3.外盒中的一个“IPSEN”英文标识变更为“益普生”中文标识。",2025-10-10,国家药品监督管理局药品审评中心,已备案
国备2025002036,中文：康腹止泻片;英文/拉丁文：————,国药准字ZJ20160004,"中文名称：大幸药品株式会社;英文名称：TAIKO PHARMACEUTICAL CO.,LTD.","大阪府吹田市内本町3-34-14（3-34-14，Uchihonmachi, Suita, Osaka）","中文名称：大幸药品株式会社;英文名称：TAIKO PHARMACEUTICAL CO.,LTD.","大阪府吹田市内本町3-34-14（3-34-14，Uchihonmachi, Suita, Osaka）",大幸药品（深圳）有限公司,深圳市罗湖区南湖街道罗湖社区人民南路2008号深圳市嘉里中心1217-1218室,对康腹止泻片36片/瓶的外盒新包装进行备案。,2025-08-20,国家药品监督管理局药品审评中心,已备案
国备2025002094,中文：注射用醋酸曲普瑞林;英文/拉丁文：Triptorelin Acetate for Injection,国药准字HJ20130797,中文名称：无;英文名称：Ipsen Pharma,70 rue Balard - 75015 Paris – France,中文名称：无;英文名称：IPSEN PHARMA BIOTECH,"Parc d'activites du Plateau de Signes, Chemin Departemental n°402- 83870 Signes-France",益普生（天津）医药商贸有限公司,天津市和平区小白楼街大连道1号宝融大厦2号楼312室,"1. 说明书和外盒中上市许可持有人地址由“65, quai Georges Gorse-92100 Boulogne-Billancourt-France”变更为“70 rue Balard - 75015 Paris – France ”；2. 说明书中上市许可持有人邮政编码由“92100”变更为“75015”； 3. 外盒中增加“运动员慎用”描述；4. 外盒中的一个“IPSEN”英文标识变更为“益普生”中文标识。",2025-08-22,国家药品监督管理局药品审评中心,已备案
国备2025002185,中文：米格列奈钙片;英文/拉丁文：Mitiglinide Calcium Tablets,国药准字HJ20140875,"中文名称： ;英文名称：KISSEI PHARMACEUTICAL CO., LTD.","19-48 Yoshino, Matsumoto City, Nagano Prefecture, Japan","中文名称： ;英文名称：KISSEI PHARMACEUTICAL CO., LTD. MATSUMOTO PLANT","19-48 Yoshino, Matsumoto City, Nagano Prefecture, Japan",卫材（中国）药业有限公司,苏州工业园区兴浦路168号,本品自2025年10月1日起执行《中国药典》2025年版二部米格列奈钙片标准，其中【含量测定】项的限度和【贮藏】项按进口药品注册标准JX20050196执行。,2025-09-10,国家药品监督管理局药品审评中心,已备案
国备2025002187,中文：米格列奈钙片;英文/拉丁文：Mitiglinide Calcium Tablets,国药准字HJ20140874,"中文名称： ;英文名称：KISSEI PHARMACEUTICAL CO., LTD.","19-48 Yoshino, Matsumoto City, Nagano Prefecture, Japan","中文名称： ;英文名称：KISSEI PHARMACEUTICAL CO., LTD. MATSUMOTO PLANT","19-48 Yoshino, Matsumoto City, Nagano Prefecture, Japan",卫材（中国）药业有限公司,苏州工业园区兴浦路168号,本品自2025年10月1日起执行《中国药典》2025年版二部米格列奈钙片标准，其中【含量测定】项的限度和【贮藏】项按进口药品注册标准JX20050196执行。,2025-09-10,国家药品监督管理局药品审评中心,已备案
国备2025002184,中文：米格列奈钙片;英文/拉丁文：Mitiglinide Calcium Tablets,国药准字HJ20140876,"中文名称： ;英文名称：KISSEI PHARMACEUTICAL CO., LTD.","19-48 Yoshino, Matsumoto City, Nagano Prefecture, Japan","中文名称： ;英文名称：KISSEI PHARMACEUTICAL CO., LTD. MATSUMOTO PLANT","19-48 Yoshino, Matsumoto City, Nagano Prefecture, Japan",卫材（中国）药业有限公司,苏州工业园区兴浦路168号,本品自2025年10月1日起执行《中国药典》2025年版二部米格列奈钙片标准，其中【含量测定】项的限度和【贮藏】项按进口药品注册标准JX20050196执行。,2025-09-10,国家药品监督管理局药品审评中心,已备案
国备2025002186,中文：米格列奈钙片;英文/拉丁文：Mitiglinide Calcium Tablets,国药准字HJ20140877,"中文名称： ;英文名称：KISSEI PHARMACEUTICAL CO., LTD.","19-48 Yoshino, Matsumoto City, Nagano Prefecture, Japan","中文名称： ;英文名称：KISSEI PHARMACEUTICAL CO., LTD. MATSUMOTO PLANT","19-48 Yoshino, Matsumoto City, Nagano Prefecture, Japan",卫材（中国）药业有限公司,苏州工业园区兴浦路168号,本品自2025年10月1日起执行《中国药典》2025年版二部米格列奈钙片标准，其中【含量测定】项的限度和【贮藏】项按进口药品注册标准JX20050196执行。,2025-09-10,国家药品监督管理局药品审评中心,已备案
国备2025001988,中文：盐酸氨基葡萄糖胶囊;英文/拉丁文：Glucosamine Hydrochloride Capsules,国药准字HC20140007 国药准字HC20140008,中文名称：澳美制药厂有限公司;英文名称：BRIGHT FUTURE PHARMACEUTICAL LABORATORIES LIMITED,"香港新界元朗工业村宏富街1&8号澳美制药中心（BF PHARMACEUTICAL CENTRE,NO.1&8 WANG FU STREET,YUEN LONG INDUSTRIAL ESTATE,YUEN LONG,N.T.,HONG KONG.)",中文名称：澳美制药厂;英文名称：Bright Future Pharmaceuticals Factory,"香港新界元朗工业村宏富街1号澳美制药中心（BF PHARMACEUTICAL CENTRE,NO.1 WANG FU STREET,YUEN LONG INDUSTRIAL ESTATE,YUEN LONG,N.T.,HONG KONG.)",深圳澳美制药技术开发有限公司,深圳市南山区粤海街道白石路与沙河西路交界处深圳湾科技生态园一区一期 2栋A座4A01,"修订120粒分包装小盒的内容，具体如下：
1、增加公仔、“每日2粒”图案；
2、修订不良反应、禁忌、注意事项的展现形式；
3、将有效期由一面移至另一面。",2025-08-15,国家药品监督管理局药品审评中心,已备案
Y国备2025002572,中文：巴氯芬;英文/拉丁文：Baclofen,Y20210001007,中文名称：无;英文名称：Medilux Laboratories Pvt. Ltd.,"Plot No. 98-99, Sector-I, Industrial Area, Pithampur - 454775, Dist. Dhar (M. P.)",中文名称：无;英文名称：Medilux Laboratories Pvt. Ltd.,"Plot No. 98-99, Sector-I, Industrial Area, Pithampur - 454775, Dist. Dhar (M. P.)",上海佰利源医药科技有限公司,上海市闵行区中春路988号11幢2楼,"1. 扩大批量200kg，增加ANFD用于干燥。
2. 变更注册代理机构上海佰利源医药科技有限公司的注册地址，由“上海市闵行区颛兴东路1277弄54号402室”变更为“上海市闵行区中春路988号11幢2楼”。",2025-10-01,国家药品监督管理局药品审评中心,已备案
国备2025002015,中文：苯磺酸氨氯地平片;英文/拉丁文：Amlodipine Besilate Tablets,国药准字HJ20230039,中文名称：--;英文名称：Aurobindo Pharma Limited,"Unit III, Survey No. 313 and 314, Bachupally, Bachupally Mandal, Medchal-Malkajgiri District, Telangana State, INDIA.",中文名称：--;英文名称：Aurobindo Pharma Limited,"Unit III, Survey No. 313 and 314, Bachupally, Bachupally Mandal, Medchal-Malkajgiri District, Telangana State, INDIA.",安若维他药业泰州有限公司,泰州市医药高新区祥泰路196号,变更压片阶段不影响制剂关键质量属性的工艺参数。,2025-08-20,国家药品监督管理局药品审评中心,已备案
国备2025002016,中文：苯磺酸氨氯地平片;英文/拉丁文：Amlodipine Besilate Tablets,国药准字HJ20230040,中文名称：----;英文名称：Aurobindo Pharma Limited,"Unit III, Survey No. 313 and 314, Bachupally, Bachupally Mandal, Medchal-Malkajgiri District, Telangana State, INDIA.",中文名称：----;英文名称：Aurobindo Pharma Limited,"Unit III, Survey No. 313 and 314, Bachupally, Bachupally Mandal, Medchal-Malkajgiri District, Telangana State, INDIA.",安若维他药业泰州有限公司,江苏省泰州市医药高新区祥泰路196号,增加压片阶段不影响制剂关键质量属性的工艺参数。,2025-08-20,国家药品监督管理局药品审评中心,已备案
国备2025002000,中文：乌司奴单抗注射液;英文/拉丁文：Ustekinumab Injection,国药准字SJ20255001,中文名称：Janssen-Cilag International NV;英文名称：Janssen-Cilag International NV,"Turnhoutseweg 30, B-2340 Beerse, Belgium",中文名称：Cilag AG;英文名称：Cilag AG,"Hochstrasse 201, 8200 Schaffhausen, Switzerland",西安杨森制药有限公司,陕西省西安市高新区草堂科技产业基地草堂四路19号，陕西省西安市高新区高新五路4号汇诚国际17F,由于本品最新批准（2025年7月23日）说明书中【贮藏】项下新增“请将本品放在儿童不能接触的地方。”的描述，瓶贴、纸盒随说明书做相应更新。,2025-08-16,国家药品监督管理局药品审评中心,已备案
国备2025001997,中文：乌司奴单抗注射液（静脉输注）;英文/拉丁文：Ustekinumab Injection (Intravenous Infusion),国药准字SJ20200005,中文名称：Janssen-Cilag International NV;英文名称：Janssen-Cilag International NV,"Turnhoutseweg 30, B-2340 Beerse, Belgium",中文名称：Cilag AG;英文名称：Cilag AG,"Hochstrasse 201, 8200 Schaffhausen, Switzerland",西安杨森制药有限公司,陕西省西安市高新区草堂科技产业基地草堂四路19号，陕西省西安市高新区高新五路4号汇诚国际17F,由于本品最新批准（2025年7月25日）说明书中【贮藏】项下新增“请将本品放在儿童不能接触的地方。”的描述，瓶贴、纸盒随说明书做相应更新。,2025-08-16,国家药品监督管理局药品审评中心,已备案
国备2025002196,中文：匹伐他汀钙片;英文/拉丁文：Pitavastatin Calcium Tablets,国药准字HJ20140417。国药准字HJ20140937。,"中文名称：无;英文名称：Kowa Company, Ltd.","6-29, Nishiki 3-chome, Naka-ku, Nagoya, Aichi, JAPAN","中文名称：无;英文名称：Kowa Company, Ltd., Nagoya Factory","18-57, Hatooka 2-chome, Kita-ku, Nagoya, Aichi, JAPAN",兴和制药（中国）有限公司,江苏省常州市新北区紫苏路1号,进口药品分包装申请及其变更。即：申请在“兴和制药（中国）有限公司”进行匹伐他汀钙片2mg片剂的进口分包装。,2025-09-04,国家药品监督管理局药品审评中心,已备案
国备2025002152,中文：卡替拉韦钠片;英文/拉丁文：Cabotegravir Sodium Tablets,国药准字HJ20230094,中文名称：不适用;英文名称：ViiV Healthcare BV,"Van Asch van Wijckstraat 55H, 3811 LP Amersfoort, Netherlands",中文名称：不适用;英文名称：Glaxo Operations UK Ltd (trading as Glaxo Wellcome Operations),"Priory Street, Ware, Hertfordshire SG12 0DJ, UK, Ware, UK",葛兰素史克（中国）投资有限公司,北京市朝阳区东四环中路56号楼9层901单元901、902、903、905、908、909、910房间,本次变更拟申请延长制剂有效期，由“48个月”延长为“60个月”。并根据此变更内容，修订本品注册标准和说明书中的有效期。,2025-08-29,国家药品监督管理局药品审评中心,已备案
国备2025002592,中文：磷酸奥司他韦胶囊;英文/拉丁文：Oseltamivir Phosphate Capsules,国药准字HJ20220099,中文名称：MSN实验室私人有限公司;英文名称：MSN Laboratories Private Limited,"Formulations Division, Unit-II, Sy. No. 1277&1319 to 1324, Nandigama (Village & Mandal) Rangareddy District-509228, Telangana, India.",中文名称：MSN实验室私人有限公司;英文名称：MSN Laboratories Private Limited,"Formulations Division, Unit-II, Sy. No. 1277&1319 to 1324, Nandigama (Village & Mandal) Rangareddy District-509228, Telangana, India.",江苏万高药业股份有限公司,江苏省海门经济技术开发区定海路688号,备案新增大包装的包装规格：每箱50板。,2025-10-10,国家药品监督管理局药品审评中心,已备案
国备2025002077,中文：注射用醋酸地加瑞克;英文/拉丁文：Degarelix Acetate for Injection,国药准字HJ20180053,中文名称：/;英文名称：Ferring Pharmaceuticals A/S,"Amager Strandvej 405, 2770 Kastrup, Denmark ",中文名称：/;英文名称：Ferring GmbH,"Wittland 11, 24109 Kiel, Germany",辉凌医药咨询（上海）有限公司,上海市虹口区公平路168号31层,本品附带溶剂生产过程控制增加全自动灯检法。,2025-08-21,国家药品监督管理局药品审评中心,已备案
国备2025002111,中文：地舒单抗注射液;英文/拉丁文：Denosumab Injection,2025B00867,中文名称：无;英文名称：Amgen Europe B.V.,"Minervum 7061, 4817 ZK Breda, The Netherlands",中文名称：无;英文名称：Amgen Manufacturing Limited LLC,"State Road 31, Kilometer 24.6 Juncos, Puerto Rico 00777, USA",安进生物技术咨询（上海）有限公司,上海市黄浦区太仓路233号1801室,"1. 申请删除原液生产工艺中N-生物反应器步骤的非关键工艺参数：最终滴度上限。
2. 修订产品制造和检定规程。",2025-08-23,国家药品监督管理局药品审评中心,已备案
国备2025001996,中文：磷酸奥司他韦胶囊;英文/拉丁文：Oseltamivir Phosphate Capsules,国药准字HJ20220098,中文名称：MSN实验室私人有限公司;英文名称：MSN Laboratories Private Limited,"Formulations Division, Unit-II, Sy. No. 1277&1319 to 1324, Nandigama (Village & Mandal) Rangareddy District-509228, Telangana, India.",中文名称：MSN实验室私人有限公司;英文名称：MSN Laboratories Private Limited,"Formulations Division, Unit-II, Sy. No. 1277&1319 to 1324, Nandigama (Village & Mandal) Rangareddy District-509228, Telangana, India.",江苏万高药业股份有限公司,江苏省海门经济技术开发区定海路688号,备案新增大包装的包装规格：每箱50板。,2025-10-10,国家药品监督管理局药品审评中心,已备案
国备2025001995,"中文：吸附无细胞百白破灭活脊髓灰质炎和b型流感嗜血杆菌(结合)联合疫苗;英文/拉丁文：Diphtheria, tetanus, pertussis (acellular, component), poliomyelitis (inactivated) vaccine and Haemophilus type b conjugate vaccine, adsorbed",国药准字SJ20150033 国药准字SJ20150034,中文名称：-;英文名称：Sanofi Winthrop Industrie,"82 avenue Raspail, 94250 Gentilly, France",中文名称：-;英文名称：Sanofi Winthrop Industrie,"1541 avenue Marcel Merieux, 69280 MARCY L'ETOILE, France",深圳赛诺菲巴斯德生物制品有限公司,深圳市坪山新区锦绣东路25号赛诺菲巴斯德生命科学园区,基于本品进口产品在中国已批准信息（受理号：JYSB2500019，通知书编号：2025B03576），相应更新分包装产品说明书和小盒中灭活脊髓灰质炎病毒的D抗原含量表述信息。,2025-08-16,国家药品监督管理局药品审评中心,已备案
Y国备2025002108,中文：吗替麦考酚酯;英文/拉丁文：Mycophenolate Mofetil,Y20190000656,中文名称：无;英文名称：Roche Pharma (Schweiz) AG,"Grenzacherstrasse 124, 4058 Basel, Switzerland",中文名称：无;英文名称：F.I.S. Fabbrica Italiana Sintetici S.p.A.,"Via Massimo D' Antona, 13, 86039 Termoli, Italy",上海罗氏制药有限公司,中国（上海）自由贸易试验区龙东大道1100号,根据2025版中国药典对吗替麦考酚酯注册标准中吗替麦考酚酯分子量和杂质Z-吗替麦考酚酯分子量进行更新，同时对注册标准中引用的药典版本号进行更新。,2025-08-23,国家药品监督管理局药品审评中心,已备案
国备2025002073,中文：埃万妥单抗注射液;英文/拉丁文：Amivantamab Injection,国药准字SJ20250005,中文名称：/;英文名称：Janssen-Cilag International NV,"Turnhoutseweg 30, B-2340 Beerse, Belgium",中文名称：/;英文名称：Cilag AG,"Hochstrasse 201, 8200 Schaffhausen, Switzerland",西安杨森制药有限公司,陕西省西安市高新区草堂科技产业基地草堂四路19号，陕西省西安市高新区高新五路4号汇诚国际17F,根据《中国药典》2025年版及药典实施公告2025年第32号文，申请将本品原注册标准中药典年份的文字性描述更新为2025年版药典年份，不涉及检验方法和限度的变更，注册标准其他内容不变。,2025-08-21,国家药品监督管理局药品审评中心,已备案
国备2025002192,中文：马来酸阿法替尼片;英文/拉丁文：Afatinib Dimaleate Tablets,国药准字HJ20170066 国药准字HJ20170067,中文名称：无;英文名称：Boehringer Ingelheim International GmbH,"Binger Strasse 173, 55216 Ingelheim am Rhein, Germany",中文名称：无;英文名称：Boehringer Ingelheim Pharma GmbH & Co. KG,"Binger Strasse 173, 55216 Ingelheim am Rhein, Germany",勃林格殷格翰（中国）投资有限公司,中国（上海）自由贸易试验区李时珍路257号1号楼,"1) 进口注册质量标准（JX20150037)中参考“中国药典2015年版”更新为“中国药典2025年版”；
2) 进口注册质量标准（JX20150037)中【溶出度】检测项下对溶出结果判定细化为参考“中国药典2025年版四部通则0931，判定法2”为结果判定方法。",2025-09-04,国家药品监督管理局药品审评中心,经审查，此次备案事项2【溶出度】检测项下对溶出结果判定细化为参考“中国药典2025年版四部通则0931，判定法2”为结果判定方法不符合备案要求艺中，属于重大变更。取消本次备案事项2。
Y国备2025002119,中文：昂丹司琼;英文/拉丁文：Ondansetron,Y20220001178,中文名称：无;英文名称：Dr. Reddy's Laboratories Ltd.,"8-2-337, Road No.3, Banjara Hills, Hyderabad - 500034 Telangana, India",中文名称：无;英文名称：DR. REDDY'S LABORATORIES LIMITED,"CHEMICAL TECHNICAL OPERATIONS - UNIT V, PEDDADEVULAPALLY (V), TRIPURARAM (M), NALGONDA (DIST.), 508207 Telangana State, India",浙江赛凯医药科技有限公司,浙江省杭州市拱墅区申花路99号运河财富中心7幢1611室,昂丹司琼中间体MHD-7和成品质量标准勘误：昂丹司琼中间体MHD-7和成品质量标准中杂质B检测方法色谱条件均由“采用硅胶G薄层板”更正为“采用硅胶F254薄层板”。,2025-08-26,国家药品监督管理局药品审评中心,已备案
国备2025002174,中文：苯磺酸美洛加巴林片;英文/拉丁文：Mirogabalin Besilate Tablets,国药准字HJ20240066,"中文名称：DAIICHI SANKYO CO., LTD.;英文名称：DAIICHI SANKYO CO., LTD.","3-5-1, Nihonbashi Honcho, Chuo-ku, Tokyo, Japan","中文名称：TAIYO Pharma Tech CO., LTD., Takatsuki Plant;英文名称：TAIYO Pharma Tech CO., LTD., Takatsuki Plant","4-38, Aketacho, Takatsuki, Osaka, Japan",第一三共（中国）投资有限公司,中国（上海）自由贸易试验区居里路500号3幢,公司申请增加初级包装设备的参数，新增30片包装规格的成型加热上板温度 ，成型加热下板温度，密封温度，切割温度，对生产工艺信息表进行相应更新，不影响产品的质量和安全性。,2025-09-03,国家药品监督管理局药品审评中心,已备案
国备2025002183,中文：注射用胸腺法新;英文/拉丁文：Thymalfasin for Injection,国药准字HJ20171177,中文名称：SciClone Pharmaceuticals Italy S.R.L.;英文名称：SciClone Pharmaceuticals Italy S.R.L.,"Via Ombrone, 14 00198 Roma, Italy",中文名称：Patheon Italia S.p.A.;英文名称：Patheon Italia S.p.A.,"Viale G.B. Stucchi, 110 – 20900 Monza (MB), Italy",赛生医药（中国）有限公司,上海市黄浦区淮海中路381号2201-2210室,变更注射用胸腺法新的原料药生产工艺，拟定对原料药胸腺法新的生产工艺进行以下变更：1）调整冻干工艺步骤的操作参数； 2) 收紧生产过程控制参数。,2025-09-03,国家药品监督管理局药品审评中心,已备案
国备2025002146,中文：瑞舒伐他汀依折麦布片（I）;英文/拉丁文：Rosuvastatin Calcium and Ezetimibe Tablets (I),国药准字HJ20230147,中文名称：无;英文名称：Sanofi-Aventis Ireland Limited T/A SANOFI,"Citywest Business Campus, Dublin 24, Ireland",中文名称：无;英文名称：Sanofi Ilac Sanayi ve Ticaret Anonim Sirketi,Kucukkaristiran Mahallesi Merkez Sokak No:223/A 39780 Buyukkaristiran/Luleburgaz Kirklareli Turkey,赛诺菲（中国）投资有限公司,北京市朝阳区建国路112号7层,根据本品进口小包装已批准的说明书（药品补充申请批准通知书编号：2025B03614），修订本品分包装说明书：1）将“请仔细阅读说明书并在医师指导下使用药品”修订为“请仔细阅读说明书并在医师或药师指导下使用药品”；2）更新【不良反应】、【禁忌】、【注意事项】、【药物相互作用】章节的相关内容。,2025-08-29,国家药品监督管理局药品审评中心,已备案
国备2025002071,中文：达比加群酯胶囊;英文/拉丁文：Dabigatran Etexilate Capsules,国药准字HJ20240154,中文名称：/;英文名称：Hetero Labs Limited,"Unit-III, 22-110, I.D.A, Jeedimetla(V), Quthbullapur(M), Medchal-Malkajgiri(Dist.), 500 055, Telangana State, India",中文名称：/;英文名称：Hetero Labs Limited,"Unit-III, 22-110, I.D.A, Jeedimetla(V), Quthbullapur(M), Medchal-Malkajgiri(Dist.), 500 055, Telangana State, India",熙德隆药业（北京）有限公司,北京市朝阳区望京东园四区6号楼27层2701号05,在同一生产厂址增加达比加群酯胶囊的微丸生产线、75mg胶囊灌装生产线、75mg胶囊包装线，同时将两种微丸的批量分别扩大至原批量的4倍和8倍、2倍和4倍，胶囊灌装批量扩大至原批量的9.14倍，原生产线继续保留。,2025-08-21,国家药品监督管理局药品审评中心,已备案
国备2025002072,中文：达比加群酯胶囊;英文/拉丁文：Dabigatran Etexilate Capsules,国药准字HJ20240155,中文名称：/;英文名称：Hetero Labs Limited,"Unit-III, 22-110, I.D.A, Jeedimetla(V), Quthbullapur(M), Medchal-Malkajgiri(Dist.), 500 055, Telangana State, India",中文名称：/;英文名称：Hetero Labs Limited,"Unit-III, 22-110, I.D.A, Jeedimetla(V), Quthbullapur(M), Medchal-Malkajgiri(Dist.), 500 055, Telangana State, India",熙德隆药业（北京）有限公司,北京市朝阳区望京东园四区6号楼27层2701号05,在同一生产厂址增加达比加群酯胶囊的微丸生产线、110mg胶囊包装线，同时将两种微丸的批量分别扩大至原批量的4倍和8倍、2倍和4倍，胶囊灌装批量扩大至原批量的5.82倍，原生产线继续保留。,2025-08-21,国家药品监督管理局药品审评中心,已备案
国备2025002074,中文：达比加群酯胶囊;英文/拉丁文：Dabigatran Etexilate Capsules,国药准字HJ20240156,中文名称：/;英文名称：Hetero Labs Limited,"Unit-III, 22-110, I.D.A, Jeedimetla(V), Quthbullapur(M), Medchal-Malkajgiri(Dist.), 500 055, Telangana State, India",中文名称：/;英文名称：Hetero Labs Limited,"Unit-III, 22-110, I.D.A, Jeedimetla(V), Quthbullapur(M), Medchal-Malkajgiri(Dist.), 500 055, Telangana State, India",熙德隆药业（北京）有限公司,北京市朝阳区望京东园四区6号楼27层2701号05,在同一生产厂址增加达比加群酯胶囊的微丸生产线、150mg胶囊包装线，同时将两种微丸的批量分别扩大至原批量的4倍和8倍、2倍和4倍，胶囊灌装批量扩大至原批量的1.79倍、2.29倍、3.29倍、4.07倍、4.57倍，原生产线继续保留。,2025-08-21,国家药品监督管理局药品审评中心,已备案
国备2025002135,中文：氯吡格雷阿司匹林片;英文/拉丁文：Clopidogrel Bisulfate and Aspirin Tablets,国药准字HJ20210074,"中文名称：无;英文名称：sanofi-aventis Korea Co., Ltd.","235, Banpo-daero, Seocho-gu, Seoul, Republic of Korea","中文名称：无;英文名称：Sanofi Winthrop Industrie, Ambares Plant","1, rue de la Vierge Ambares et Lagrave 33565 Carbon Blanc Cedex France",赛诺菲（中国）投资有限公司,北京市朝阳区建国路112号7层,根据本品进口小包装已批准的说明书（药品补充申请批准通知书编号：2025B03521），更新本品分包装说明书中【注意事项】、【妊娠及哺乳期妇女用药】相关内容。,2025-08-27,国家药品监督管理局药品审评中心,已备案
Y国备2025002673,中文：苯溴马隆;英文/拉丁文：Benzbromarone,Y20220000154,中文名称：----;英文名称：IPCA LABORATORIES LTD.,Plot No. 4722，4723，4731 & 4732 GIDC Estate， Ankleshwar，Dist.: Bharuch (Gujarat),中文名称：----;英文名称：IPCA LABORATORIES LTD.,Plot No. 4722，4723，4731 & 4732 GIDC Estate， Ankleshwar，Dist.: Bharuch (Gujarat),昆山龙灯瑞迪制药有限公司,江苏省昆山开发区黄浦江中路2158号,根据国家药监局关于实施2025年版《中华人民共和国药典》有关事宜的公告(2025年第32号)要求，经申请人评估，本品质量标准由“YBY60882024”变更为“《中国药典》2025年版二部和YBY60882024”， 其中重金属项执行《中国药典》2025年版二部，其他项目执行YBY60882024，涉及《中国药典》通则的项目，即熔点、鉴别、三氯甲烷溶液的澄清度与颜色、可溶性卤化物、有关物质、残留溶剂、干燥失重、铁盐、砷盐、含量测定项目的通则由“中国药典2020年版”变更为“中国药典2025年版”，并对标签进行相应修订。,2025-10-12,国家药品监督管理局药品审评中心,已备案
国备2025002678,中文：注射用头孢洛生他唑巴坦钠;英文/拉丁文：Ceftolozane Sulfate and Tazobactam Sodium for Injection,国药准字HJ20250016,中文名称：----;英文名称：Merck Sharp & Dohme B.V.,"Waarderweg 39, 2031 BN Haarlem, The Netherlands","中文名称：----;英文名称：Steri-Pharma, LLC","429 S. West Street Syracuse, NY 13202, U.S.A.",默沙东研发（中国）有限公司,北京市朝阳区容达路21号楼L2-13层,按照国家药监局关于实施2025年版《中华人民共和国药典》有关事宜的公告（2025年第32号）规定，拟将本品的药品注册标准及生产工艺信息表中《中国药典》的版本号修订为2025年版，此变更仅涉及版本号更新，其他内容均未变更，不影响产品质量。,2025-10-12,国家药品监督管理局药品审评中心,已备案
国备2025002566,中文：西格列汀二甲双胍片(I);英文/拉丁文：Sitagliptin Phosphate/metformin Hydrochloride Tablets,国药准字HJ20140774,中文名称：MSD Merck Sharp & Dohme AG;英文名称：MSD Merck Sharp & Dohme AG,"Werftestrasse 4, 6005 Lucerne, Switzerland","中文名称：Patheon Puerto Rico, Inc. (Manati);英文名称：Patheon Puerto Rico, Inc. (Manati)","State Road #670 Km.2.7 Manati, Puerto Rico, 00674 Puerto Rico",默沙东研发（中国）有限公司,北京市朝阳区容达路21号楼L2-13层,在药品包装外盒上增加“二维码”。医生和患者可以通过“微信扫一扫”“二维码”，获得本品的结构化说明书。结构化说明书可方便医生患者便捷快速地找到所需内容，同时具备字体调整（切换大字版）和语音报告功能。此外，患者还可以通过功能设置将本品收藏在“我的药箱”中，同时，增加“附近药店和医院“信息提示功能，提高和方便患者用药可及性。,2025-09-30,国家药品监督管理局药品审评中心,已备案
国备2025002321,中文：注射用头孢曲松钠;英文/拉丁文：Ceftriaxone Sodium for Injection,HC20150030,"中文名称：台湾泛生制药厂股份有限公司;英文名称：Panbiotic Laboratories Co.,Ltd.",台湾省高雄市鸟松区大同路5-1号,中文名称：台湾泛生制药厂股份有限公司屏东农科分公司;英文名称：Panbiotic Laboratories Pabp Branch,台湾屏东县长治乡园东一街10及12号,南京华威医药科技集团有限公司,南京市栖霞区仙林街道仙林大学城纬地路9号C3栋,"批件中持有人英文名称为“Taiwan Panbiotic Laboratories Co.,Ltd.”，应修正为“Panbiotic Laboratories Co.,Ltd.”；生产厂英文名称为“Taiwan Panbiotic Laboratories Co.,Ltd.”，应修正为“Panbiotic Laboratories Pabp Branch”。",2025-09-13,国家药品监督管理局药品审评中心,已备案
国备2025002169,中文：注射用德达博妥单抗;英文/拉丁文：Datopotamab Deruxtecan for Injection,国药准字SJ20250021,中文名称：无;英文名称：Daiichi Sankyo Europe GmbH,"Zielstattstrasse 48, 81379 Munich, Germany",中文名称：无;英文名称：Baxter Oncology GmbH,"Kantstrasse 2, 33790 Halle/Westfalen, Germany",第一三共（中国）投资有限公司,中国（上海）自由贸易试验区居里路500号3幢,新增制剂商业化生产场地作为本品制剂的生物学活性（细胞生长抑制活性）及TROP2结合活性（ELISA法）检测场地。,2025-09-02,国家药品监督管理局药品审评中心,已备案
